Sample	serialized_eq_classes	num_mapped	frag_dist_length	num_bootstraps	call	num_libraries	library_types	end_time	samp_type	num_targets	percent_mapped	salmon_version	eq_class_properties	num_bias_bins	mapping_type	length_classes	num_processed	start_time	seq_bias_correct	gc_bias_correct
ERR1146433	False	3682725	1000001	100	quant	1	['IU']	Thu Oct 26 19:26:13 2017	bootstrap	129918	84.75261802274845	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4345264	Thu Oct 26 19:15:42 2017	True	True
ERR1146434	False	4299095	1000001	100	quant	1	['IU']	Thu Oct 26 19:26:48 2017	bootstrap	129918	86.10332290596199	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4992949	Thu Oct 26 19:15:45 2017	True	True
ERR1146435	False	3396423	1000001	100	quant	1	['IU']	Thu Oct 26 19:24:21 2017	bootstrap	129918	91.48574713213358	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3712516	Thu Oct 26 19:15:54 2017	True	True
ERR1146436	False	3775188	1000001	100	quant	1	['IU']	Thu Oct 26 19:28:31 2017	bootstrap	129918	84.01135465401953	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4493664	Thu Oct 26 19:16:05 2017	True	True
ERR1146437	False	4822359	1000001	100	quant	1	['IU']	Thu Oct 26 19:26:57 2017	bootstrap	129918	86.89386043816327	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5549712	Thu Oct 26 19:16:52 2017	True	True
ERR1146438	False	5209354	1000001	100	quant	1	['IU']	Thu Oct 26 19:23:42 2017	bootstrap	129918	93.89004598839729	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5548356	Thu Oct 26 19:17:00 2017	True	True
ERR1146439	False	5338505	1000001	100	quant	1	['IU']	Thu Oct 26 19:24:02 2017	bootstrap	129918	93.2337850907817	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5725934	Thu Oct 26 19:17:12 2017	True	True
ERR1146440	False	4410217	1000001	100	quant	1	['IU']	Thu Oct 26 19:28:12 2017	bootstrap	129918	87.41127498432223	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	5045364	Thu Oct 26 19:17:35 2017	True	True
ERR1146441	False	4022537	1000001	100	quant	1	['IU']	Thu Oct 26 19:27:15 2017	bootstrap	129918	88.8661512440484	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4526512	Thu Oct 26 19:18:17 2017	True	True
ERR1146442	False	3308890	1000001	100	quant	1	['IU']	Thu Oct 26 19:28:24 2017	bootstrap	129918	86.0317405015487	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	3846127	Thu Oct 26 19:19:00 2017	True	True
ERR1146443	False	3892911	1000001	100	quant	1	['IU']	Thu Oct 26 19:31:37 2017	bootstrap	129918	83.4863522535504	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4662931	Thu Oct 26 19:19:28 2017	True	True
ERR1146444	False	3930779	1000001	100	quant	1	['IU']	Thu Oct 26 19:35:24 2017	bootstrap	129918	83.68332500568954	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4697207	Thu Oct 26 19:20:49 2017	True	True
ERR1146445	False	3938133	1000001	100	quant	1	['IU']	Thu Oct 26 19:33:10 2017	bootstrap	129918	88.5404870191844	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4447833	Thu Oct 26 19:21:09 2017	True	True
ERR1146446	False	4473563	1000001	100	quant	1	['IU']	Thu Oct 26 19:31:33 2017	bootstrap	129918	91.89370676142052	0.8.0	[]	4096	mapping	[477, 748, 1414, 2766, 101674]	4868193	Thu Oct 26 19:22:16 2017	True	True
